A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
PLC8,PLC8-BASE-CIP,21012,1071-X-779,1071-XY-779,FIELDBUS,A21-PB-02-34,EX,F02,B
PLC8,PLC8-BASE-CIP,21014,1071-X-779,1071-ZSH-779,HARDWIRED,A21-PB-02-34,NO,F02,B
PLC8,PLC8-BASE-CIP,21016,1071-X-779,1071-ZSL-779,HARDWIRED,A21-PB-02-34,NO,F02,B
PLC8,PLC8-BASE-CIP,21019,1071-X-780,1071-XY-780,FIELDBUS,A21-PB-02-34,EX,F02,B
PLC8,PLC8-BASE-CIP,21021,1071-X-780,1071-ZSH-780,HARDWIRED,A21-PB-02-34,NO,F02,B
PLC8,PLC8-BASE-CIP,21023,1071-X-780,1071-ZSL-780,HARDWIRED,A21-PB-02-34,NO,F02,B
PLC8,PLC8-BASE-CIP,21026,1072-X-777,1072-XY-777,FIELDBUS,A21-PB-02-34,EX,F02,B
PLC8,PLC8-BASE-CIP,21028,1072-X-777,1072-ZSH-777,HARDWIRED,A21-PB-02-34,NO,F02,B
PLC8,PLC8-BASE-CIP,21030,1072-X-777,1072-ZSL-777,HARDWIRED,A21-PB-02-34,NO,F02,B
PLC8,PLC8-BASE-CIP,21033,1072-X-779,1072-XY-779,FIELDBUS,A21-PB-02-34,EX,F02,B
PLC8,PLC8-BASE-CIP,21035,1072-X-779,1072-ZSH-779,HARDWIRED,A21-PB-02-34,NO,F02,B
PLC8,PLC8-BASE-CIP,21037,1072-X-779,1072-ZSL-779,HARDWIRED,A21-PB-02-34,NO,F02,B
